Series Name,Series Code,Country Name,Country Code,GDP Per Capita
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,516.75
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5332.16
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3306.86
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,12844.90
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,37416.70
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,1631.43
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13992.74
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,8585.69
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4266.02
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,23384.30
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,51680.32
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,48588.66
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4229.91
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,24665.10
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,20406.50
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2270.35
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16318.75
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6555.43
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,45189.37
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,3987.80
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1291.04
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,107706.04
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3000.78
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3137.99
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6082.37
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6348.83
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,6814.88
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,27442.95
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,10079.20
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,857.93
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,233.84
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3064.27
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1547.51
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1537.13
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,43258.26
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,85346.76
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,481.75
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,652.35
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,13220.57
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,10408.67
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,5312.20
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1407.41
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,543.95
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1899.78
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12201.93
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2325.72
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,14132.49
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,9477.85
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,16109.86
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,27681.57
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,22933.50
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,61063.32
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3219.70
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,7003.86
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,7268.20
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,5627.77
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3569.21
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,3798.64
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,7198.34
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,23054.36
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3434.72
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,936.45
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,66320.68
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,5102.84
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,49160.84
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,39037.12
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,20182.58
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,6881.71
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,757.41
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,4255.74
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,46252.69
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2254.15
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,17647.23
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,54570.38
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,9273.20
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,34624.34
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,4603.34
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,1078.95
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,727.52
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,6955.94
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1272.37
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2405.73
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,46100.98
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,16075.97
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,59264.03
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1933.10
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,3870.56
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,2756.75
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,4583.75
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,85422.54
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,44177.57
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,31834.97
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,4664.53
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,39918.17
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4282.77
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,9121.64
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1872.12
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1514.59
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People's Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,31597.50
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,4310.81
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,24811.77
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1182.52
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2608.98
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,17703.95
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,3801.79
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1050.63
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,601.06
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,7614.33
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,20232.30
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,116356.16
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,39403.14
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,477.61
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,636.29
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,10412.35
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,6924.11
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,862.45
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,28946.46
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,4129.85
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1702.49
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,8632.75
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,8431.67
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,3542.97
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,4525.76
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,173688.19
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,4060.95
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,7694.63
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3058.69
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,448.84
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1450.66
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,4157.02
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,10580.27
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,1147.47
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,52396.03
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,34694.55
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,41596.51
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1900.04
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,567.67
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2097.09
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,5846.47
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,67329.68
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,14485.39
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1359.51
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,14243.86
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,12509.84
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2757.01
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,4967.69
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,6117.49
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3301.22
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,15742.45
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,22194.57
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,31429.87
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,50124.39
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,12956.57
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,10161.98
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,786.30
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4068.08
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,45515.76
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,2157.84
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,20203.67
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1462.81
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,7730.69
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,12193.89
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,509.38
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,60729.45
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,19266.51
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,25489.50
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2250.60
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,438.26
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,5655.87
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,27056.42
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,3694.04
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,18440.85
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,8804.56
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,7860.82
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,615.46
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,4916.61
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,52300.21
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,87100.41
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,852.83
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,1076.47
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,7158.77
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1442.73
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,914.95
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,4624.82
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,15285.94
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3597.22
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,8536.43
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,23879.93
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,4668.82
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,822.03
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,3751.74
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,36284.56
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,41098.08
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,63027.68
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,15418.82
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,1749.66
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,2919.84
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,3526.27
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,39552.17
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,3233.57
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,631.68
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,985.13
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1214.51
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Eastern and Southern,AFE,1360.88
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Western and Central,AFW,1709.76
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,5724.29
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,8857.87
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,16197.30
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,3253.71
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,11483.60
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,8270.46
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,8361.94
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,38012.67
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,23981.02
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,7435.16
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,8406.89
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,34191.83
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,1743.37
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,975.47
GDP per capita (current US$),NY.GDP.PCAP.CD,High income,HIC,43282.42
GDP per capita (current US$),NY.GDP.PCAP.CD,IBRD only,IBD,6176.40
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,4925.38
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,1740.60
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA only,IDX,1175.59
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA total,IDA,1365.05
GDP per capita (current US$),NY.GDP.PCAP.CD,Late-demographic dividend,LTE,9699.09
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean,LCN,7270.70
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,6765.53
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,7062.48
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,1099.20
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,4759.78
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,703.73
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,2285.71
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa,MEA,6688.09
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,3190.33
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,3189.80
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,5237.02
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,61000.86
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,..
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,38116.42
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,11792.07
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,3785.50
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,44330.31
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1349.15
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,10787.67
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1875.44
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1875.44
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1501.78
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1500.85
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1501.78
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,9166.46
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,10936.06
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
